X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-76.93309621,38.9084808,30373240,38.908473,-76.933099,Deanwood Rec Center,classic,304,active,2021/11/07 17:25:21+00,12,0,3,3,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.0302316,38.87844411,30373241,38.878433,-77.03023,Hains Point/Buckeye & Ohio Dr SW,classic,305,active,2021/11/07 18:39:36+00,13,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.0892323,38.8737656,30373242,38.873755,-77.089233,Arlington Blvd & Fillmore St,classic,306,active,2021/11/07 20:45:29+00,5,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.05428328,38.86276078,30373243,38.862753,-77.05428,Eads St & 12th St S,classic,307,active,2021/11/07 21:55:16+00,2,0,15,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.10965027,38.99963926,30373244,38.999634,-77.109647,Old Georgetown Rd & Southwick St,classic,308,active,2021/11/07 19:41:34+00,15,0,4,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/11/07 23:02:59+00,,"Montgomery County, MD (South)"
-77.08866096,38.96115589,30373245,38.96115,-77.088659,Friendship Blvd & Willard Ave,classic,309,active,2021/11/07 20:01:48+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/11/07 23:02:59+00,,"Montgomery County, MD (South)"
-77.00891354,38.89970746,30373246,38.899703,-77.008911,North Capitol St & G Pl NE,classic,310,active,2021/11/07 21:46:47+00,15,0,2,0,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/11/07 23:02:59+00,,"Washington, DC"
-77.09348369,38.83785466,30373247,38.837846,-77.093478,31st St & S Woodrow St,classic,311,active,2021/11/07 12:21:16+00,9,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.08210987,38.87323032,30373248,38.873219,-77.082104,Washington Blvd & Walter Reed Dr ,classic,312,active,2021/11/07 21:38:18+00,8,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
-77.09559924,38.86942751,30373249,38.869418,-77.095596,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,classic,313,active,2021/11/07 22:32:33+00,6,0,9,3,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/11/07 23:02:59+00,,"Arlington, VA"
